source_row,dedup_id,title,year,journal,candidate_topics,strict_decision,primary_topic,exposure_measurement,design_class,counterfactual_status,effect_extractability,outcome_status,primary_reason_code,confidence,reason,full_text_checks,overlap_flag,screener_model,criteria_version
353,D0020603,Impact of extreme bushfire seasons on rates of occupational injury and disease compensation claims in first responders,2024,International archives of occupational and environmental health,wildfire,FULLTEXT_REVIEW,wildfire,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,medium,"Workers' compensation mental-health claim rates during extreme bushfire seasons are compared with off-seasons and other occupations, but the abstract gives only broad IRR ranges without uncertainty or a mental-specific primary estimate.",Extract extreme-bushfire mental-claim IRRs with uncertainty | Confirm event-season definitions and occupation-by-event interaction specification,none_identified,gpt-5.6-sol,strict-inc-v1.0
354,D0020619,Assessing mental health during an extreme weather event in southern Brazil,2025,Trends in Psychiatry and Psychotherapy,flood,NARRATIVE_ONLY,flood,self_report_only,cross_sectional,no,likely_extractable,eligible,cross_sectional,high,"A real-time single survey during the flood compares participants by reported direct or close-other impact; there is no pre-event outcome, external exposure assignment, or temporal counterfactual.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
355,D0020621,Heatwaves and its impact on the depressive symptoms among Chinese community-dwelling older adults: Examining the role of social participation,2025,Archives of Gerontology and Geriatrics,temperature,NARRATIVE_ONLY,temperature,objective_or_verifiable,cross_sectional,no,unclear,eligible,cross_sectional,high,Depressive symptoms come from the single 2018 CHARLS wave and are associated with accumulated heatwaves across older adults; a multilevel fixed-effect label does not establish within-person temporal outcome variation.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
356,D0020637,"Associations of heat with diseases and specific symptoms in Flanders, Belgium: An 8-year retrospective study of general practitioner registration data",2024,Environment International,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,high,"Eight years of daily GP visits are analyzed with time-stratified distributed-lag models, but the abstract only states no evidence for mental-health increases and provides no mental-health RR or uncertainty.","Extract the mental-health temperature effect and uncertainty, including null estimates | Confirm the mental-health outcome definition and reference temperature",none_identified,gpt-5.6-sol,strict-inc-v1.0
357,D0020658,"Youth suicidality risk relative to ambient temperature and heatwaves across climate zones: A time series analysis of emergency department presentations in New South Wales, Australia",2025,Australian and New Zealand Journal of Psychiatry,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,high,"A generalized additive daily time series estimates ambient-temperature effects on youth suicidality ED presentations, but the reported 1.3% increase per degree has no uncertainty interval.",Extract temperature and heatwave effect estimates with uncertainty | Confirm meteorological data source and temporal controls,none_identified,gpt-5.6-sol,strict-inc-v1.0
358,D0020664,"Risk, Attributable Fraction and Attributable Number of Cause-Specific Heat-Related Emergency Hospital Admissions in Switzerland",2024,International Journal of Public Health,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,high,"A 22-year distributed-lag analysis attributes emergency admissions to heat, but the abstract reports pooled admission burden and only states that mental-disease risk increased, without a mental-specific effect and uncertainty.",Extract mental-disease heat RRs or attributable fractions with uncertainty | Confirm the mental-disease diagnostic grouping and reference temperature,none_identified,gpt-5.6-sol,strict-inc-v1.0
359,D0020700,Seasonal variations in psychiatry outpatient service utilization in a tertiary health care center in subtropical arid regions of northwestern India,2024,Indian Journal of Psychiatry,temperature,NARRATIVE_ONLY,temperature,objective_or_verifiable,descriptive,no,not_extractable,eligible,descriptive_or_predictor_only,high,"The chart review describes seasonal prevalence and Pearson correlations with temperature and photoperiod over two years, without a time-series counterfactual, temporal confounding control, or extractable adjusted hazard effect.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
360,D0020751,"Association Between Extreme Heat and Outpatient Visits for Mental Disorders: A Time-Series Analysis in Guangzhou, China.",2024,GeoHealth,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,high,"A daily quasi-Poisson time series evaluates nine heatwave definitions and mental-disorder outpatient visits, but the supplied abstract ends before any numerical RRs or uncertainty are provided.",Extract heatwave RRs and uncertainty for eligible mental-disorder categories | Confirm temperature data source and temporal confounder adjustment,none_identified,gpt-5.6-sol,strict-inc-v1.0
361,D0020776,"Variable and dynamic associations between hot weather, thermal comfort, and individuals' emotional states during summertime",2024,BMC psychology,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,panel_fixed_effects,yes,unclear,eligible,unclear_effect_extractability,medium,"Repeated EMA affect ratings are linked to high-resolution modeled weather with substantial within-person variation, but the abstract gives no quantitative direct temperature-to-negative-affect estimate or uncertainty.",Extract the direct objective-temperature effect and uncertainty for negative affect | Confirm participant-level repeated-outcome model specification | Separate direct temperature effects from perceived comfort mediation,none_identified,gpt-5.6-sol,strict-inc-v1.0
362,D0020934,Population-level effects of Hurricane Sandy on adolescent health,2024,Journal of Affective Disorders,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,high,"FEMA exposure assignment and difference-in-differences compare pre/post changes in exposed and unexposed districts, but the abstract provides no mental-health effect estimates or uncertainty for sadness or suicidality.",Extract DiD effects and uncertainty for sadness and suicidality | Confirm district pretrend assessment and exposure coding,none_identified,gpt-5.6-sol,strict-inc-v1.0
363,D0020997,Suicide deaths associated with climate change-induced heat anomalies in Australia: a time series regression analysis,2024,BMJ mental health,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,"National mortality and gridded climate data are analyzed in a time-series regression, yielding climate-change heat-attributable suicide counts with a 95% CI.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
364,D0021000,Generalizability of Heat-related Health Risk Associations Observed in a Large Healthcare Claims Database of Patients with Commercial Health Insurance,2024,Epidemiology,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,case_crossover,yes,unclear,eligible,unclear_effect_extractability,high,"Extreme heat is evaluated with a space-time-stratified case-crossover design in two healthcare datasets, but the mental-health result is a ratio comparing dataset IRRs rather than a heat-effect estimate itself.",Extract heat-versus-control-day mental-health IRRs and uncertainty in each dataset | Confirm mental and behavioral disorder outcome codes,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
365,D0021032,"Examining the non-linear association between ambient temperature and mental health of elderly adults in the community: evidence from Guangzhou, China",2024,BMC public health,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,unclear,unclear,unclear,eligible,unclear_design,low,"Survey and temperature data from 20 neighborhoods are analyzed with fixed effects, but the abstract does not state whether outcomes or exposures repeat over time or provide quantitative estimates with uncertainty.",Confirm whether the fixed-effects model uses within-person or within-neighborhood temporal temperature variation | Identify survey timing and temperature linkage | Extract adjusted mental-health effects and uncertainty,none_identified,gpt-5.6-sol,strict-inc-v1.0
366,D0021082,"[""Is there a Link Between Heat Waves and Mental Health Emergencies in the Emergency Department?""].",2024,Psychiatrische Praxis,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,unclear,unclear,unclear,eligible,unclear_design,low,"Eight years of psychiatric emergencies are compared with local temperatures, but the abstract gives no model specification, temporal controls, effect magnitude, or uncertainty beyond noting more presentations during heatwaves.",Confirm a time-series or case-crossover design with temporal confounding control | Extract heatwave effects and uncertainty | Confirm local temperature data source and heatwave definition,none_identified,gpt-5.6-sol,strict-inc-v1.0
367,D0021197,Predicting Post-Disaster Post-Traumatic Stress Disorder Symptom Trajectories: The Role of Pre-Disaster Traumatic Experiences,2024,International Journal of Environmental Research and Public Health,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,post_event_only,no,likely_extractable,eligible,descriptive_or_predictor_only,high,The analysis models post-Katrina PTSD trajectories as a function of prior trauma and reported Katrina trauma; it does not estimate a hurricane effect using changing hazard exposure or a counterfactual.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
368,D0021230,2023 Wildfires in Canada: Living in Wildfire Regions in Alberta and Nova Scotia Doubled the Odds for Residents to Experience Likely Generalized Anxiety Disorder Symptoms,2024,Journal of Clinical Medicine,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,cross_sectional,no,reported_with_uncertainty,eligible,cross_sectional,high,A single online survey during the wildfires compares self-reported residence in affected regions with GAD symptoms; there is no pre-event outcome or temporal/quasi-experimental counterfactual.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
369,D0021236,"Short-term effects of temperature-related indices on emergency ambulance dispatches due to mental and behavioral disorders in Shenzhen, China",2024,Frontiers in Public Health,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,Daily meteorological indices and mental-disorder ambulance dispatches are analyzed with distributed-lag nonlinear models; high-humidex cumulative RRs and 95% CIs are reported.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
370,D0021251,Examining recurrent hurricane exposure and psychiatric morbidity in Medicaid-insured pregnant populations.,2024,PLOS mental health,cyclone,META_ELIGIBLE,cyclone,objective_or_verifiable,quasi_experimental,yes,reported_with_uncertainty,eligible,eligible,high,"A meteorologic hurricane wind index assigns county exposure and difference-in-differences estimates post-storm psychiatric ED risks in pregnant populations, with outcome-specific RRs and 95% CIs.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
371,D0021270,"Climate change anxiety, hurricane exposure, and climate change actions and attitudes: results from a representative, probability-based survey of US Gulf Coast residents",2024,The Lancet Planetary Health,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,descriptive,no,not_extractable,eligible,descriptive_or_predictor_only,high,"The longitudinal survey's reported models focus on climate anxiety, actions, and attitudes; hurricane exposure predicts actions, while no hurricane-to-mental-health effect estimate is reported.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
372,D0021291,Association of Psychiatric Emergency Visits and Warm Ambient Temperature during Pregnancy: A Time-Stratified Case-Crossover Study,2024,Environmental Health Perspectives,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,A time-stratified case-crossover links daily ambient temperature by residential ZIP code to psychiatric ED visits in pregnancy and reports disorder-specific IRRs with 95% CIs.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
373,D0021354,Crisis response in Texas youth impacted by Hurricane Harvey: A difference-in-differences analysis,2024,Journal of Affective Disorders,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,high,"A difference-in-differences analysis uses county disaster declarations to compare exposed and unexposed youth crisis texts before and after Harvey, but the abstract gives no numerical DiD estimates or uncertainty.","Extract DiD estimates and uncertainty for depression, suicidal thoughts, stress/anxiety, and self-harm | Confirm parallel-trend assessment and county exposure assignment",none_identified,gpt-5.6-sol,strict-inc-v1.0
374,D0021360,"Private vs. public emergency visits for mental health due to heat: An indirect socioeconomic assessment of heat vulnerability and healthcare access, in Curitiba, Brazil",2024,Science of the Total Environment,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,Daily mean temperature from three stations is linked to mental-health ED visits in distributed-lag time-series models; an extreme-heat attributable fraction and 95% CI are reported.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
375,D0021394,"Effect of heatwaves on daily hospital admissions in Portugal, 2000–18: an observational study",2024,The Lancet Planetary Health,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,Daily county admissions are linked to E-OBS heatwaves over 19 years with negative-binomial models; the mental-disease admission increase is reported with an interval and p-value.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
376,D0021410,Floods and cause-specific mortality in the UK: a nested case-control study,2024,BMC Medicine,flood,META_ELIGIBLE,flood,objective_or_verifiable,other_eligible,yes,reported_with_uncertainty,eligible,eligible,high,Dartmouth flood records are linked to UK Biobank in a matched nested case-control distributed-lag analysis; the current-year flood effect on suicide mortality is reported as an OR with 95% CI.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
377,D0021520,Short-term changes in mental health help-seeking behaviors following exposure to multiple social stressors and a natural disaster,2024,Social Science & Medicine,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,descriptive,no,not_extractable,eligible,descriptive_or_predictor_only,medium,The multi-event analysis reports median crisis-volume changes after Hurricane Laura and several nonhazard stressors; no hazard-specific adjusted effect with uncertainty or credible exposed comparison is reported.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
378,D0021534,Effects of seasonality in emergency admissions for mental disorders: Two years of clinical experience,2024,International Journal of Psychiatry in Clinical Practice,temperature,FULLTEXT_REVIEW,temperature,unclear,unclear,unclear,unclear,eligible,unclear_design,low,"The retrospective study states that heatwaves correlate with psychiatric ED admissions, but the abstract does not identify the temperature source, heatwave definition, analytic model, adjusted effect, or uncertainty.",Confirm objective heatwave data and definition | Confirm a time-series or other temporal counterfactual with seasonal controls | Extract adjusted effects and uncertainty by eligible diagnosis,none_identified,gpt-5.6-sol,strict-inc-v1.0
379,D0021544,"Association between heat and hospital admissions in people with disabilities in South Korea: a nationwide, case-crossover study",2024,The Lancet Planetary Health,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,Gridded daily temperature is linked to national ED admissions in a time-stratified case-crossover; the mental-disorder admission heat OR and 95% CI are reported.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
380,D0021745,Psychotropic Medication Prescriptions and Large California Wildfires,2024,JAMA Network Open,wildfire,META_ELIGIBLE,wildfire,objective_or_verifiable,quasi_experimental,yes,reported_with_uncertainty,eligible,eligible,high,"An interrupted time series compares psychotropic prescriptions six weeks before and after 25 objectively defined large wildfires, reporting medication-class RRs with 95% CIs and a negative-control outcome.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
381,D0021857,Increased suicide mortality and reduced life expectancy associated with ambient heat exposure,2024,American Journal of Preventive Medicine,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,A time-stratified case-crossover estimates extreme-heat effects on suicide mortality and reports risk and attributable-fraction estimates with 95% CIs.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
382,D0021905,"The relationship between hot temperatures and hospital admissions for psychosis in adults diagnosed with schizophrenia: A case-crossover study in Quebec, Canada",2024,Environmental Research,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,NASA Daymet temperatures are linked to psychosis admissions among adults with schizophrenia in a case-crossover distributed-lag analysis; lag-specific ORs and 95% CIs are reported.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
383,D0021930,Heatwave characteristics complicate the association between PM2.5 components and schizophrenia hospitalizations in a changing climate: Leveraging of the individual residential environment,2024,Ecotoxicology and Environmental Safety,temperature,EXCLUDE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,wrong_exposure,high,PM2.5 components are the primary exposure and heatwave characteristics modify their effects; the abstract does not report an independent heatwave effect on schizophrenia hospitalization.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
384,D0021946,[The impact of the Ahr Valley flood on the health of the local population - an analysis based on SHI routine data].,2024,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",flood,FULLTEXT_REVIEW,flood,objective_or_verifiable,unclear,unclear,unclear,eligible,unclear_design,medium,"Routine billing diagnoses in the flood region are compared between 2020 and 2021 and mental-disorder services changed, but the abstract does not describe an unaffected control, trend adjustment, or effect estimates with uncertainty.",Confirm whether spatial comparisons provide an unaffected control or other credible counterfactual | Extract flood effects and uncertainty for mental and behavioral diagnoses | Clarify population denominators and pre-event trends,none_identified,gpt-5.6-sol,strict-inc-v1.0
385,D0022009,Aging and emotional well-being after disasters: Vulnerability and resilience,2023,The Gerontologist,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,longitudinal_with_prebaseline,no,likely_extractable,eligible,descriptive_or_predictor_only,high,"Although depression was measured before the hurricane seasons, the analysis centers on age and self-reported hurricane adversity as predictors of post-event symptoms rather than an externally assigned hurricane effect with a control group.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
386,D0022030,Impact of heatwaves on depression and anxiety in India: A time-series analysis.,2025,Bioinformation,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,unclear,unclear,eligible,unclear_effect_extractability,low,"Daily depression and anxiety admissions are compared with meteorological heatwaves over two years, but the abstract omits model details, confounder control, numerical effects, and uncertainty.",Confirm time-series model and temporal confounding controls | Extract heatwave effects and uncertainty for depression and anxiety | Confirm meteorological data source and heatwave definition,none_identified,gpt-5.6-sol,strict-inc-v1.0
387,D0022043,Assessing the impact of heatwaves on emergency visits for major depression and suicidal ideation in youth with attention-deficit/hyperactivity disorder.,2025,PLOS mental health,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,Objectively defined Excess Heat Factor exposure is modeled across 13 warm seasons with Poisson mixed models; heatwave RRs and 95% CIs are reported for major depression and suicidal outcomes.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
388,D0022163,"Climate resilience adaptation and psychiatric emergency services utilization during extreme heat in Boston, MA: a difference-in-differences analysis",2026,Environment International,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,medium,"Difference-in-differences estimates compare heat events across advisory and adaptation-policy periods, but the abstract reports intervention contrasts rather than the underlying heat-versus-nonheat psychiatric-service effect.",Confirm a directly extractable heat-event effect on psychiatric services is reported | Extract the heat effect and uncertainty within policy periods | Clarify the DiD treatment and comparison periods,none_identified,gpt-5.6-sol,strict-inc-v1.0
389,D0022176,Combined effect of heat and outdoor O3 pollution on emergency department visits in Florida,2026,Environmental Research,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,high,"A 17-year daily generalized additive time series assesses heat index and ED visits, but only the all-cause effect is quantified; the abstract gives no mental-health-specific heat estimate or uncertainty.",Extract mental-health ED heat-index effects and uncertainty | Confirm the mental-health outcome category and lag specification | Separate heat effects from ozone interaction estimates,none_identified,gpt-5.6-sol,strict-inc-v1.0
390,D0022188,The toll of the cyclone: mental health impacts of tropical cyclones in coastal communities of India,2025,BMC public health,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,panel_fixed_effects,yes,unclear,eligible,unclear_effect_extractability,high,"Cyclone landfall and inland penetration are linked to district-year medicine sales in fixed-effects distributed-lag models, but the 144% and 173% effects are reported without uncertainty.","Extract cyclone effects and uncertainty for mental-disorder medicine sales | Confirm cyclone exposure coding, district and year fixed effects, and lag windows | Verify medicine sales represent eligible mental-health service use",none_identified,gpt-5.6-sol,strict-inc-v1.0
391,D0022203,Prenatal exposure to heat stress and postpartum depressive symptoms in the MADRES cohort in urban Los Angeles,2026,Environmental Research,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,other_eligible,yes,reported_with_uncertainty,eligible,eligible,high,Residential WBGT throughout pregnancy is analyzed with trimester and distributed-lag models against postpartum CES-D scores; adjusted percentage effects and 95% CIs are reported.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
392,D0022222,Cumulative heat exposure and mental health in older Chinese adults with social isolation mediation,2025,Scientific reports,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,unclear,unclear,unclear,eligible,unclear_design,medium,"Longitudinal survey data are linked to meteorological cumulative heat exposure, but ordinary least squares and mediation models are described without stating whether repeated within-person changes identify the effect or reporting effect estimates with uncertainty.",Confirm repeated mental-health outcomes and within-person or within-area temporal heat variation | Extract the direct heat effect and uncertainty | Clarify cumulative exposure timing relative to each outcome measurement,none_identified,gpt-5.6-sol,strict-inc-v1.0
393,D0022223,"Hurricane María and prenatal maternal mental health: Variations in stress, social support, and depression across disaster recovery periods in Puerto Rico",2026,Environmental Research,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,post_event_only,no,reported_with_uncertainty,eligible,no_pre_event_baseline,high,"Different pregnant participants are grouped by visit timing before and after Maria, with no unaffected comparison and no individual pre-event baseline; simple period differences cannot isolate a hurricane effect from cohort or time changes.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
394,D0022292,"Climate-Related Heat Stress and Psychological Outcomes in Self-Employed Delivery Workers: Evidence from Brasília, Brazil.",2025,International journal of environmental research and public health,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,panel_fixed_effects,yes,reported_with_uncertainty,eligible,eligible,high,"Twice-daily repeated psychological ratings are paired with station temperature over 15 days, and cluster-robust regressions report temperature coefficients with 95% CIs for stress and mood.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
395,D0022308,"Depression, Anxiety, and PTSD Among Southern California Residents After the January 2025 Los Angeles Wildfires",2025,Disaster medicine and public health preparedness,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,cross_sectional,no,reported_with_uncertainty,eligible,self_report_exposure_only,high,A single post-fire survey compares self-reported evacuation status with depression and PTSD; adjusting for reported pre-fire mental health does not provide objective wildfire linkage or a credible quasi-experimental counterfactual.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
396,D0022392,[Heat and Mental Health: Discrepancy Between Expert Opinion and Documented Primary Care Diagnostics - Findings from 560 General and Pediatric Practices in Germany].,2025,Psychiatrische Praxis,temperature,NARRATIVE_ONLY,temperature,objective_or_verifiable,descriptive,no,not_extractable,eligible,descriptive_or_predictor_only,high,"Practice-level diagnoses are compared between selected hot and cooler years using Wilcoxon tests, without daily exposure linkage, temporal confounder adjustment, or an extractable temperature effect on mental-health diagnoses.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
397,D0022421,"Changes in Admissions to the Adult Inpatient Mental Health Service of Lismore Base Hospital, Northern New South Wales, Following the 2022 Floods",2025,The Australian journal of rural health,flood,NARRATIVE_ONLY,flood,objective_or_verifiable,descriptive,no,not_extractable,eligible,descriptive_or_predictor_only,high,"The hospital simply compares admissions in one 12-month period before and one after the flood, without an unaffected control, interrupted time-series structure, trend adjustment, or individual exposure information.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
398,D0022434,Effect of ambient temperature and thermal comfort indices on emergency visits for psychotic and mood disorders: a case-crossover study in a French suburban area,2025,Psychiatry Research,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,case_crossover,yes,unclear,eligible,unclear_effect_extractability,high,"An 11-year time-stratified case-crossover compares heat metrics with psychiatric emergency visits, but reported percentage changes lack confidence intervals or other uncertainty.","Extract adjusted heat effects with uncertainty for depressive, bipolar, and psychotic disorders | Confirm exposure source and reference-day definition",none_identified,gpt-5.6-sol,strict-inc-v1.0
399,D0022469,Living through the heat: How urban children and young people experience and envision healthier cities.,2025,PLOS global public health,temperature,NARRATIVE_ONLY,temperature,objective_or_verifiable,cross_sectional,no,unclear,eligible,cross_sectional,high,"Online respondents surveyed in heatwave and non-heatwave periods are analyzed as period groups, but the abstract does not indicate repeated individuals or a design controlling participant composition and temporal differences.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
400,D0022494,"Short-term variations in summer temperatures and mental health-related emergency department visits in Ontario, Canada",2025,Environmental Epidemiology,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,"A time-stratified case-crossover estimates daily ambient and apparent-temperature effects on mental-health ED visits, reporting adjusted ORs and 95% CIs.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
401,D0022560,"The effect of climate extremes on disability, depression, and cognitive decline in middle-aged and older Chinese adults under different healthy lifestyle",2025,Journal of global health,temperature,FULLTEXT_REVIEW,temperature,unclear,panel_fixed_effects,unclear,unclear,eligible,unclear_exposure_measurement,medium,"Four cohort waves and time-dependent models link climate indices to incident depression, but the abstract does not identify the climate data source or report a depression effect estimate with uncertainty.",Verify objective climate data source and linkage | Confirm within-person exposure variation | Extract depression effect and uncertainty,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
402,D0022610,Association of heatwave exposure and multimorbidity with depression trajectories among older adults: evidence from the China Health and Retirement Longitudinal Study,2025,"The journals of gerontology. Series A, Biological sciences and medical sciences",temperature,FULLTEXT_REVIEW,temperature,unclear,panel_fixed_effects,unclear,unclear,eligible,unclear_design,medium,"Five repeated depression waves are analyzed against heatwaves, but the abstract does not state the heat data source, whether exposure changes within participants, or numerical heat effects.",Verify objective heatwave data | Confirm within-person temporal contrast | Extract adjusted heatwave effect and uncertainty,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
403,D0022614,Association of fine particulate matter and wet-bulb globe temperature with depression incidence in a community-based longitudinal study,2025,Scientific Reports,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,longitudinal_with_prebaseline,unclear,unclear,eligible,unclear_effect_extractability,high,"Geo-AI WBGT and incident depression are measured longitudinally, but all numerical results concern particulate matter rather than an independent WBGT effect.",Extract WBGT-specific depression effect and uncertainty | Confirm baseline depression exclusion | Confirm temporal WBGT contrast,none_identified,gpt-5.6-sol,strict-inc-v1.0
404,D0022659,Prescribing patterns of psychotropic medications among people living with dementia after disasters.,2025,Innovation in aging,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,post_event_only,no,reported_with_uncertainty,eligible,no_pre_event_baseline,high,FEMA hurricane exposure is compared between counties only during the 12 post-landfall months; no pre-event prescription outcome or quasi-experimental trend contrast is described.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
405,D0022664,The risk of hospitalization associated with foehn winds and temperature in the mountainous region of Switzerland,2025,Environmental Epidemiology,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,case_crossover,yes,unclear,eligible,unclear_effect_extractability,high,"A station-based case-time-series estimates temperature effects, but the abstract reports only overall hospitalization estimates and says mental-health associations were larger without a mental-health-specific estimate.",Extract mental-health hospitalization effect and uncertainty | Confirm diagnostic outcome definition,none_identified,gpt-5.6-sol,strict-inc-v1.0
406,D0022760,High temperature and mental health in 3.3 million adults living in Barcelona metropolitan area: a 12-year time series analysis of primary care data,2025,Environment International,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,"A 12-year time series uses Meteocat daily temperature and distributed-lag models for anxiety and depression diagnoses, prescriptions, and sick leave, with quantitative relative risks reported.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
407,D0022794,Flooding and Cognitive Health among Middle-Aged and Older Adults in Thailand: A Case Study of Resilient City Policy in Bangkok,2025,Annals of Global Health,flood,EXCLUDE,flood,objective_or_verifiable,panel_fixed_effects,yes,likely_extractable,ineligible,wrong_outcome,high,"The flood effect is estimated for cognitive domains; depressive symptoms appear only as an indirect correlate of the resilience policy, not as a measured flood-effect outcome.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
408,D0022800,Increased antidepressant prescriptions following the 2018 Japan floods: a longitudinal analysis using the national health insurance database,2025,European journal of psychotraumatology,flood,META_ELIGIBLE,flood,objective_or_verifiable,quasi_experimental,yes,reported_with_uncertainty,eligible,eligible,high,"Government-designated flood victims are compared with nonvictims before and after the flood using difference-in-differences, with adjusted prescription effects and 95% CIs.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
409,D0022851,Optimism and language proficiency predict incidence of and remission from PTSD among climate migrants,2025,"Psychological Trauma: Theory, Research, Practice, and Policy",cyclone,NARRATIVE_ONLY,cyclone,self_report_only,post_event_only,no,reported_with_uncertainty,eligible,descriptive_or_predictor_only,high,"All participants are relocated Hurricane Maria survivors, and the analysis predicts post-event PTSD incidence and remission from personal characteristics and reported trauma rather than estimating a hurricane effect.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
