source_row,dedup_id,title,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,crosses_fulltext_boundary
673,D0098379,Thinking clearly about climate change and mental health,temperature,NARRATIVE_ONLY,The paper critiques prior evidence and adds simple national and state-level temperature-suicide regressions; the abstract itself concludes these designs cannot identify a climate-caused suicide effect.,FULLTEXT_REVIEW,"Original aggregate US temperature-suicide analysis (1968-2004) with objective exposure and eligible outcome, but abstract reports only directional associations and does not specify time-series versus cross-sectional/ecological design, adjustment, or quantitative effect with uncertainty. Full text needed to confirm credible counterfactual and extractable estimates.",yes
676,D0098756,The transformation of suicide fluctuation in Slovenia,temperature,NARRATIVE_ONLY,"The study reports unadjusted correlations of annual suicide fluctuations with temperature and sunshine and speculates about antidepressant use, without a controlled hazard-effect design.",FULLTEXT_REVIEW,"Abstract reports a significant correlation between suicide incidence and temperature but gives no coefficient, uncertainty, or details of the time-series model; full text needed to establish credible counterfactual and extractable effect.",yes
678,D0098761,Climatic conditions and southern state hospital admission rates,temperature,EXCLUDE,Only seasonal admission rates are reported; uncomfortable summer weather is speculative and no measured ambient-temperature exposure or hazard-effect estimate is described.,NARRATIVE_ONLY,"Abstract reports monthly state hospital admission rates over 5 years and notes summer had the highest rate, but no measured hazard exposure, causal design, quantitative effect, or uncertainty is reported. This is a descriptive seasonal pattern without a hazard effect.",no
680,D0098774,Influence of method on seasonal distribution of attempted suicides in Italy,temperature,FULLTEXT_REVIEW,"Twelve years of attempted-suicide admissions show correlations with temperature indicators, but the abstract does not state the exposure source, temporal model, confounder control, or an extractable effect.",NARRATIVE_ONLY,"Abstract reports a descriptive seasonal distribution/spectral analysis of attempted suicides and correlations with temperature indicators, not a hazard-specific effect estimate with uncertainty; no explicit causal counterfactual or adjusted temperature effect.",yes
685,D0099075,Seasonal admission rates in Texas mental hospitals,temperature,EXCLUDE,The abstract reports only seasonal mental-hospital admission counts in warm versus cold weather and does not identify a measured ambient-temperature exposure.,NARRATIVE_ONLY,"Abstract only describes seasonal admission patterns (increase in warm weather, decrease in cold) without a quantitative hazard effect, uncertainty, or credible counterfactual, so unsuitable for causal meta-analysis.",no
699,D0100088,"Non-economic factors in violence: Evidence from organized crime, suicides and climate in Mexico",temperature,EXCLUDE,"The target outcomes are organized-crime killings and interpersonal homicide; suicide appears only as a comparison, and no temperature effect on an eligible mental-health outcome is reported.",FULLTEXT_REVIEW,Abstract indicates a quantitative temperature relationship with suicides in Mexico but reports no suicide-specific effect size or uncertainty and does not specify exposure source or design.,yes
701,D0100655,Environmental factors and admission rates in patients with major psychiatric disorders,temperature,EXCLUDE,"Temperature was one of several environmental correlates, but the reported finding concerns photoperiod; the abstract does not report a temperature effect on admissions as the primary hazard analysis.",NARRATIVE_ONLY,"Monthly correlations between admission rates and environmental factors (temperature, humidity, etc.) are descriptive; only a photoperiod association is reported, no temperature-specific effect or uncertainty. Bivariate ecological correlations lack a credible counterfactual for causal meta-analysis.",no
730,D0107358,The association of adverse mental health effects with repeated exposure to disasters.,flood,FULLTEXT_REVIEW,"The study modeled post-flood disorders by number of flood exposures while controlling lifetime pre-disaster disorders, but it is unclear whether pre-event outcomes were prospectively measured or reconstructed retrospectively.",EXCLUDE,"Abstract reports post-disaster psychopathology consisted mainly of alcohol use disorder that predated floods; PTSD and incident psychiatric disorders were nonexistent or rare. Alcohol use disorder is not an eligible mental-health outcome, and no extractable effect on an eligible outcome is shown.",yes
731,D0107359,The association of adverse mental health effects with repeated exposure to disasters,flood,FULLTEXT_REVIEW,"The study modeled post-flood disorders by number of flood exposures while controlling lifetime pre-disaster disorders, but it is unclear whether pre-event outcomes were prospectively measured or reconstructed retrospectively.",EXCLUDE,"The abstract reports post-disaster psychopathology consisted mainly of alcohol use disorder that predated the disasters, while disaster-related PTSD and incident psychiatric disorders were nonexistent or rare. Alcohol use disorder is not an eligible mental health outcome.",yes
736,D0109090,A polar expedition in challenging circumstances: Experiences and reactions,temperature,EXCLUDE,"The study evaluates psychological reactions before, during, and after a polar expedition as a bundled experience; it does not measure ambient temperature as the explanatory exposure.",NARRATIVE_ONLY,"Case series of four expeditioners with GHQ-30 and STAI measured before, during, and after an expedition; abstract reports qualitative themes and descriptive psychometric trajectories but no objective temperature exposure measure or hazard-specific causal effect.",no
754,D0119871,"Resource loss, resource gain, and mental health among survivors of Hurricane Katrina.",cyclone,EXCLUDE,The explanatory variables are post-hurricane losses and gains in resources; hurricane exposure is controlled rather than estimated as the primary hazard effect.,NARRATIVE_ONLY,"Abstract tests resource loss/gain as predictors of posthurricane distress among 402 Katrina survivors, not a hurricane hazard effect. All participants experienced the same event; no hazard variation or credible counterfactual, so no extractable hazard effect.",no
755,D0119948,Intrusive thoughts and young children's knowledge about thinking following a natural disaster.,cyclone,NARRATIVE_ONLY,"Hurricane-exposed and control children were surveyed ten months after Katrina, with no pre-event intrusive-thought or mental-health outcome.",EXCLUDE,"Study measures children's intrusive thoughts and knowledge about thinking, not an eligible mental-health outcome (e.g., PTSD, depression, distress). Post-event hurricane-exposed vs control comparison only.",no
757,D0120775,Change of mental health status caused by flood in a Korean village: Prospective study over an eighteen-month period,flood,FULLTEXT_REVIEW,"Residents and a control village had pre- and post-flood measures, but the abstract reports within-flood-village change and post-event control prevalence without a clear comparative-change estimate.",META_ELIGIBLE,"Prospective cohort with pre-disaster mental-health measures in a village before a 2006 flood and follow-up after, reporting quantitative pre-post changes in PWI and SF-36 mental health with t, df, and p; qualifies as longitudinal pre/post with objectively verified flood exposure.",no
759,D0122204,A prospective study of the impact of floods on the mental and physical health of older adults.,flood,FULLTEXT_REVIEW,"Older adults completed mental-health surveys before and after a flood and affected versus unaffected change was compared, but flood experience ascertainment and numerical effects are not reported.",NARRATIVE_ONLY,"Longitudinal pre/post flood study with baseline and eligible outcomes, but flood exposure ('personally affected', 'greater flood exposure') is self-reported via flood experience questionnaires; no objective/externally verifiable exposure stated. Self-reported exposure only makes causal hazard effect unsuitable for meta-analysis.",yes
760,D0122216,Posttraumatic stress disorder and use of psychiatric and alcohol related services: the effect of the 2004-2005 Florida hurricane seasons on veterans.,cyclone,META_ELIGIBLE,Administrative service use changed after hurricane landfall in affected counties and was contrasted with non-affected counties; percentage changes and p values are reported.,FULLTEXT_REVIEW,"Abstract suggests pre-post change in mental health service use comparing hurricane-affected vs nonaffected counties (+28.0 vs -6.5%, p=0.001), but does not clearly describe pre-hurricane baseline, adjustment for confounding, or the counterfactual. Missing design details preclude META_ELIGIBLE.",no
765,D0127800,Climate change during one year before birth predicted child mental problems at age four,temperature,NARRATIVE_ONLY,Prenatal reanalysis temperature was linked to a single child mental-health assessment at age four; no pre-exposure outcome or quasi-experimental counterfactual is described.,FULLTEXT_REVIEW,"Objective ambient temperature from TReAD and caregiver-reported CBCL anxiety/depression outcomes are eligible, but abstract reports ORs without confidence intervals and does not describe adjustment for confounders or the counterfactual in the DLNM. Full text must establish adjusted hazard-specific estimates with uncertainty and credible temporal control.",yes
786,D0128882,Examination of the relationship between academic achievement and traumatic stress following Hurricane Katrina,cyclone,EXCLUDE,The main exposure is PTSD symptom severity and the outcome is academic achievement; hurricane exposure is not analyzed as the primary cause of an eligible mental-health outcome.,NARRATIVE_ONLY,Abstract reports HURTE self-reported hurricane-related traumatic experiences only; PTSD measured post-Katrina without pre-event mental-health baseline; analyses link PTSD to academic achievement rather than estimating a hazard effect on mental health.,no
793,D0129019,"Trajectories of psychological distress among low-income, female survivors of Hurricane Katrina",cyclone,FULLTEXT_REVIEW,"Distress was measured before and twice after Katrina, but latent trajectory classes and stressor predictors are reported without an extractable hurricane-occurrence effect or uncertainty.",NARRATIVE_ONLY,"Longitudinal pre/post study of Katrina survivors, but uses LCGA to describe distress trajectories; hurricane-related stressors predict trajectory membership with no objective hazard variation or extractable hazard-effect estimate.",yes
799,D0129532,"Impact of emergency evacuations on skilled nursing facilities residents' health during 2009 floods in Fargo, North Dakota",flood,EXCLUDE,"The explanatory exposure is skilled-nursing-facility evacuation, with flood serving only as the reason for evacuation; it does not estimate flood exposure's mental-health effect.",NARRATIVE_ONLY,"Abstract describes a post-event comparison of evacuated vs control SNFs during the 2009 flood, with no stated pre-event outcome or credible counterfactual; exposed/unexposed post-event comparison alone is not eligible. Mental health outcome (mood/negative statements) is also unclear.",no
800,D0129680,An SCL-90 evaluation in paratroopers before and after anti-flood rescue,flood,EXCLUDE,"The before-after exposure is participation in an anti-flood rescue mission, not objectively measured flood exposure; the study estimates the mission's effect on rescuers.",NARRATIVE_ONLY,"Single group of 200 paratroopers assessed before and after one anti-flood rescue mission; no unexposed comparison, exposure gradient, or variation in flood exposure. Changes in SCL-90 scores are descriptive pre/post mission effects, not a flood hazard effect.",no
