source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
448,D0024084,Heatwave-related variations in psychiatric consultations and admissions: a time-series analysis.,2026,Frontiers in psychiatry,temperature,FULLTEXT_REVIEW,"Agency meteorology and daily psychiatric service counts are modeled with ARIMA, but exposure evidence is limited to improved model fit and no heatwave effect or uncertainty is reported.",FULLTEXT_REVIEW,"Original time-series ARIMA with objective meteorological heatwave exposure and eligible psychiatric service use, but abstract does not report a quantitative heatwave effect with uncertainty; only model fit/AIC improvements are described.",FULLTEXT_REVIEW
449,D0024105,"Changes in susceptibility to heat on suicide mortality within summer in Japan, 1973–2020: A two-stage time-series analysis",2026,Psychiatry Research,temperature,META_ELIGIBLE,Prefecture-specific daily distributed-lag time-series models estimate temperature-suicide effects over 1973-2020 and report pooled RRs with 95% CIs.,META_ELIGIBLE,"Two-stage time-series analysis using daily maximum, mean, and minimum temperatures (objective) and 383,115 suicide deaths; DLNM plus meta-regression yields RRs with CIs for heat versus minimum temperature, satisfying the target.",PRIORITY_FULLTEXT
450,D0024106,Latent transition of posttraumatic reactions' co-existent patterns in adolescents following a devastating flood: A longitudinal study.,2026,Journal of health psychology,flood,NARRATIVE_ONLY,"Adolescents are enrolled after one flood and followed for two post-event waves to model symptom-pattern transitions, without pre-event outcomes or hazard variation.",NARRATIVE_ONLY,"Two-wave assessments following a devastating flood with no pre-event baseline, unexposed comparison, or flood exposure variation; latent transition analysis of posttraumatic patterns cannot estimate a flood effect.",DO_NOT_ADVANCE_MAIN_META
451,D0024153,Heat-Related Mental Health Hospitalizations in Italy:A Global Sensitivity Analysis Approach to Evaluate Generalized Additive Model Assumptions,2026,Risk analysis : an official publication of the Society for Risk Analysis,temperature,FULLTEXT_REVIEW,"A multicity DLNM-GAM time series relates daily high temperature to mental-health hospitalizations, but only approximate risk values and qualitative uncertainty comparisons are reported.",FULLTEXT_REVIEW,"Abstract supports an original time-series DLNM-GAM analysis of high temperatures and psychiatric hospitalizations in 21 Italian cities, with RR close to 2 and uncertainty. However, it never states how temperature exposure was measured, so objective/externally verifiable exposure is not confirmed. Full text must establish objective meteorological exposure and extractable adjusted estimates.",FULLTEXT_REVIEW
452,D0024163,The Lethal Connection: Investigating the Relationship of Drought Conditions on Firearm and Nonfirearm Suicides Among U.S. Adults.,2026,GeoHealth,drought,META_ELIGIBLE,"County-month drought is measured with the Evaporative Demand Drought Index and modeled against national suicide mortality, with IRRs, risk differences, and 95% CIs.",META_ELIGIBLE,"Uses objective Evaporative Demand Drought Index and suicide mortality over county-months 2000-2018. GAMs estimate IRRs and ARDs with 95% CIs for worsening/improving drought, indicating temporal exposure variation and extractable quantitative effects.",PRIORITY_FULLTEXT
453,D0024211,Temporal dynamics of teen crisis help-seeking following hurricanes: A structural topic model analysis.,2026,PLOS digital health,cyclone,NARRATIVE_ONLY,"Crisis texts are assigned to post-landfall periods and topic proportions are described without pre-hurricane call outcomes, an unexposed control, or a quantitative hurricane effect.",NARRATIVE_ONLY,"STM of crisis text topics describes topic proportions across time since hurricane landfall; no causal hazard effect or credible counterfactual is reported, only descriptive temporal trajectories.",DO_NOT_ADVANCE_MAIN_META
454,D0024218,"Warm season hourly temperature and psychiatric emergencies: A case-crossover study of a vulnerable population in Boston, 2005-2019.",2026,"Environmental epidemiology (Philadelphia, Pa.)",temperature,META_ELIGIBLE,A time-stratified case-crossover links 1-km hourly ambient temperature to psychiatric ED visits and reports cumulative and sustained-heat risk estimates with CIs.,META_ELIGIBLE,"Time-stratified case-crossover study using objectively estimated hourly ambient temperature and psychiatric ED visits; reports cumulative heat effect with 95% CI (e.g., 1.13-fold at 99th percentile), satisfying causal design and extractable quantitative estimate.",PRIORITY_FULLTEXT
455,D0024219,Heat Exposure and Hospital Admissions for Mental Health Disorders in a Changing Climate,2026,Journal of the American Academy of Child and Adolescent Psychiatry,temperature,META_ELIGIBLE,The empirical component uses daily temperature in a case-crossover distributed-lag design and reports diagnosis-specific mental-health admission RRs with 95% CIs before projecting future burden.,META_ELIGIBLE,Case-crossover time-series of hospital admissions for mental health disorders using daily ambient temperature; conditional logistic regression with lag-distributed non-linear models reports RR with 95% CI for high temperature versus MMT.,PRIORITY_FULLTEXT
456,D0024227,Feasibility of Integrating Wearable Devices and Ecological Momentary Assessment for Real-Time Environmental Exposure Estimation: Proof-of-Concept Study.,2026,JMIR formative research,temperature,FULLTEXT_REVIEW,"Repeated EMA emotion reports are linked by GPS to temperature from monitors, satellites, and climate models, but the abstract does not provide the exploratory temperature-affect result or uncertainty.",FULLTEXT_REVIEW,"Pilot proof-of-concept with N=7; GPS-linked objective ambient temperature and EMA emotional states. Abstract reports feasibility targets and exploratory bivariate associations only; no quantitative temperature effect with uncertainty or within-person analytic strategy/counterfactual, so full text needed.",FULLTEXT_REVIEW
457,D0024244,Impact of meteorological factors on suicide risk: Insights from a generalized additive model analysis,2026,Acta Psychologica,temperature,META_ELIGIBLE,"Official daily meteorology is linked to registered suicides and analyzed with lagged GAMs, with a DTR suicide effect and 95% CI.",META_ELIGIBLE,"Daily suicide counts and objective meteorological DTR over 2016-2022 analyzed with GAM time-series; reports per 1°C DTR cumulative 3.24% (95% CI 1.19-5.33) increase, satisfying objective temperature hazard, eligible suicide outcome, temporal counterfactual, and extractable effect.",PRIORITY_FULLTEXT
458,D0024294,Short-term effects of heat and air pollutants on ten acute health events: evidence from a multi-exposure case-crossover analysis in Wisconsin,2026,International Journal of Environmental Health Research,temperature,FULLTEXT_REVIEW,"A disjoint time-stratified case-crossover estimates heat-index effects, but the abstract reports a mental-health estimate only for NO2 and no heat-index effect for mental-health events.",FULLTEXT_REVIEW,"Case-crossover study uses objective heat index and includes mental health events among ten acute outcomes, but abstract only reports NO2 effect on mental health (RR≈1.18), not a heat index-specific effect for mental health. Full text needed to extract hazard effect and uncertainty.",FULLTEXT_REVIEW
459,D0024344,Emergency Department Burden of Mental Health and Substance Misuse After Hurricane Helene: Insights From Rural Appalachia,2026,American journal of public health,cyclone,META_ELIGIBLE,"Post-hurricane recovery periods are compared with matched calendar dates in the prior year, and anxiety and other diagnosis-specific ED changes are reported as IRRs with CIs.",META_ELIGIBLE,"Original ED surveillance study comparing post-Hurricane Helene periods to same calendar periods in 2023, reporting IRRs with 95% CIs for anxiety and other mental health visits; temporal pre/post counterfactual and extractable effect.",PRIORITY_FULLTEXT
460,D0024390,"Extreme Ambient Temperature and Differential Risk of Mental Disorder-Related Emergency Department Visit by Disorder, Sex and Age: A Case-Time Series Analysis in Korea",2026,Journal of Korean medical science,temperature,META_ELIGIBLE,A national case-time-series estimates lagged extreme-temperature effects on diagnosis-specific mental-disorder ED visits and reports RRs with 95% CIs.,META_ELIGIBLE,"Case-time series analysis of national ED visits using ambient temperature at extreme percentiles reports RR with CI for anxiety and other mental disorder visits. Satisfies objective temperature exposure, temporal design, and eligible psychiatric service use outcome.",PRIORITY_FULLTEXT
461,D0024401,Modification of temperature-morbidity associations by social determinants of health,2026,medRxiv,temperature,FULLTEXT_REVIEW,"A time-stratified case-crossover uses ZIP-specific temperature changes, but mental-health risk among people living alone is mentioned without its effect estimate or uncertainty.",FULLTEXT_REVIEW,"Temperature case-crossover with objective ZIP-code exposure is eligible in design, but abstract reports only a qualitative 'increased mental health risks among those living alone' and gives quantitative ORs only for kidney injury; mental-health-specific effect/uncertainty is not shown.",FULLTEXT_REVIEW
462,D0024414,"impact of flood on maternal health in rural Hyderabad, Pakistan: A mixed-methods study",2026,African journal of reproductive health,flood,NARRATIVE_ONLY,"Facility outcomes have pre-post data, but the reported stress analysis is a post-flood between-group survey with no pre-flood psychological outcome or clearly defined objective exposure contrast.",NARRATIVE_ONLY,"Stress outcome comes from post-flood survey comparing flood-exposed women with no pre-flood mental health measure; pre/post facility records cover maternity services, not stress. Single post-event comparison cannot establish causal effect.",DO_NOT_ADVANCE_MAIN_META
463,D0024528,"Housing displacement, employment disruption, and mental health after the 2023 maui wildfires",2026,JAMA Psychiatry,wildfire,NARRATIVE_ONLY,"Official burn perimeters improve exposure classification, but mental health is measured once after the fire in a propensity-weighted exposed/unexposed comparison without a pre-event outcome.",NARRATIVE_ONLY,"Abstract explicitly states a multiarm, propensity-weighted cross-sectional study comparing adults in burn zones, outside burn zones, and unexposed counties after the 2023 Maui wildfires. This is a single post-event exposed/unexposed comparison with no pre-event baseline or temporal counterfactual, so not credible for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
464,D0024538,Within-summer variation in the heat-related emergency department visits among older adults in South Korea: a population-based case-crossover study,2026,The Lancet Regional Health - Western Pacific,temperature,FULLTEXT_REVIEW,"A nationwide two-stage temperature time series reports overall heat RRs, while mental-disorder ED results are described only as within-summer variation without a diagnosis-specific estimate.",FULLTEXT_REVIEW,"Abstract reports all-cause ED visits with temperature RR and CI; mental disorders-related ED visits are mentioned only as a subgroup for within-summer variation. No mental-health-specific hazard effect or uncertainty is reported, so full text needed.",FULLTEXT_REVIEW
465,D0024545,Mental health impacts of climate-related hazards among farmers: evidence from a community-based study,2026,Journal of Occupational Medicine and Toxicology,flood|drought,NARRATIVE_ONLY,"Five-year disaster records classify areas, but depression, anxiety, and stress are measured in one farmer survey with no pre-event outcome or within-unit hazard variation.",NARRATIVE_ONLY,Abstract states a community-based cross-sectional survey of 346 farmers. Compares high vs low climate-hazard exposure areas and flood frequency with DASS-21 outcomes; aORs are cross-sectional associations with no pre-exposure baseline or credible counterfactual.,DO_NOT_ADVANCE_MAIN_META
466,D0024569,"[Association between temperature, duration of sunshine and suicidal mortality in Germany (2015-2023)].",2026,Der Nervenarzt,temperature,NARRATIVE_ONLY,"Official monthly temperature and suicide counts are assessed with simple concurrent correlations; the abstract explicitly describes the findings as exploratory and noncausal, without seasonal counterfactual modeling.",NARRATIVE_ONLY,The abstract reports only concurrent correlations between monthly temperature/sunshine and suicide counts and explicitly states findings do not establish causality; no credible counterfactual or adjusted effect estimate is provided.,DO_NOT_ADVANCE_MAIN_META
467,D0024574,Independent and interactive effects of wet bulb globe temperature and air pollution exposures on suicide mortality,2026,Environment International,temperature,META_ELIGIBLE,"ECMWF WBGT is residentially linked to suicide deaths in a case-crossover design, with independent heat effects and 95% CIs across lag windows.",META_ELIGIBLE,"Case-crossover study of 7,551 suicide cases assigns objective daily max WBGT from ECMWF; reports OR 1.05 (95% CI 1.01-1.10) per 5°C for suicide, satisfying eligible hazard, outcome, design, and extractable effect.",PRIORITY_FULLTEXT
468,D0024576,The association between extreme weather events and depression risk in postmenopausal women: cross-sectional and longitudinal evidence from the China Health and Retirement Longitudinal Study (CHARLS),2026,Menopause,temperature|drought,NARRATIVE_ONLY,Incident depression is related to weather indicators fixed at the 2011 baseline; the abstract does not describe changing exposure or a pre-post hazard event within participants.,NARRATIVE_ONLY,Cross-sectional GLM and longitudinal Cox with only baseline 2011 exposure predicting incident depression provide no within-unit temporal exposure variation or credible quasi-experimental counterfactual. Objective exposure source not explicitly stated. Quantitative OR/HR reported but causal design unsuitable.,DO_NOT_ADVANCE_MAIN_META
469,D0024586,"Correlation between heat exposure and perinatal depression - A spatial case-crossover study from Bangladesh, Lesotho, Mozambique, and Nepal",2026,Science of the Total Environment,temperature,META_ELIGIBLE,"NASA temperature is spatially linked to DHS depression data in a stated time-stratified case-crossover DLNM, with country-specific cumulative odds and uncertainty intervals.",META_ELIGIBLE,"Time-stratified case-crossover uses NASA temperature, PHQ-9 perinatal depression, and DLNM reporting cumulative ORs with 95% CIs for temperature percentiles.",PRIORITY_FULLTEXT
470,D0024664,"Separate and combined associations of heatwaves, air pollution, green spaces, and blue spaces with depressive symptoms: a national cohort study.",2026,Archives of public health = Archives belges de sante publique,temperature,FULLTEXT_REVIEW,"Five waves relate prior-year heatwaves to depressive-symptom onset, but the abstract omits the temperature data source, analytic model details, and numerical effects with uncertainty.",FULLTEXT_REVIEW,"Longitudinal cohort with heatwave exposure and depressive symptoms outcomes suggests eligibility, but abstract lacks numeric effect estimates/uncertainty and does not explicitly state extractable adjusted effect.",FULLTEXT_REVIEW
471,D0024687,Temperature extremes contribute to suicide-related help-seeking through multiple pathways: Evidence from crisis hotline data (2019–2023),2026,Plos Mental Health,temperature,META_ELIGIBLE,Distributed-lag models estimate nighttime-temperature effects on daily suicide-related hotline assessments and report percentile-specific prevalence ratios with 95% CIs.,META_ELIGIBLE,"Time-series of crisis hotline calls using distributed lag nonlinear models with minimum temperature extremes; reports PRs and 95% CIs for suicide-related help-seeking, an eligible psychiatric service use/suicidality outcome.",PRIORITY_FULLTEXT
472,D0024700,Quantifying the spatiotemporal associations of flooding on mental health using telehealth call data.,2026,International journal of environmental health research,flood,FULLTEXT_REVIEW,"Flood-risk and event geography are analyzed with interrupted time series and daily mental-health calls, but no flood effect estimate or uncertainty appears in the abstract.",FULLTEXT_REVIEW,"Interrupted time series of daily mental health calls vs flood risk/2015-16 floods is plausible, with eligible service-use outcome and objective flood exposure; but abstract reports only elevated IRR without numeric estimate or uncertainty and does not explicitly confirm pre-flood baseline or adjustment details.",FULLTEXT_REVIEW
473,D0024756,Ambient temperature and the variability between neighbouring days impacts in-patient hospitalizations in the United Kingdom.,2026,Communications medicine,temperature,FULLTEXT_REVIEW,"Gridded temperature is linked to daily admissions and a mental-disorder OR with CI is reported, but the abstract omits the analytic design and temporal control specification.",META_ELIGIBLE,"Daily hospital admissions linked to UK Biobank with ambient temperature at 1x1 km; reports mental disorders hospitalization OR 1.08 (95% CI 1.00-1.16) during cold season using lagged daily temperature, indicating temporal exposure variation and extractable effect.",FULLTEXT_REVIEW
474,D0024790,Longitudinal effects of bushfire harm on adolescent mental health,2026,Australian and New Zealand Journal of Psychiatry,wildfire,NARRATIVE_ONLY,"Bushfire harm is participant-reported, recruitment overlaps and follows the fire period, and the 24-month comparison lacks a clearly pre-fire outcome baseline tied to objective exposure.",NARRATIVE_ONLY,"Exposure is self-reported bushfire harm ('167 participants reported bushfire harm'), not objectively measured/verifiable; compares harmed vs unexposed peers without credible counterfactual. Thus ineligible for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
475,D0024793,"Mental health burdens, typhoon and structural health inequities: evidence from a global perspective",2026,Global health action,cyclone,FULLTEXT_REVIEW,"Multinational panel and year-on-year models may use temporal typhoon variation, but the abstract gives no hazard source, exact counterfactual specification, or quantitative effect with uncertainty.",FULLTEXT_REVIEW,"Multinational panel study evaluates typhoon exposure on mental disorder prevalence/incidence/DALYs using year-on-year difference models, but abstract reports only directional associations without effect sizes or uncertainty. Full text must confirm objective exposure source, baseline/counterfactual, and extractable quantitative hazard-specific estimates.",FULLTEXT_REVIEW
476,D0024804,"Urban Exposures, Frailty, and Mental Illness in World Trade Center Health Program Responders",2026,medRxiv,temperature,FULLTEXT_REVIEW,"Repeated PTSD and depression scores are related to annual temperature, but the exposure source is absent and reported effects concern the combined environmental mixture rather than a temperature-specific estimate.",FULLTEXT_REVIEW,"Prospective cohort with annual temperature and repeated PTSD/depression measures is plausible, but the abstract reports only exposure-mixture effect sizes; temperature-specific coefficients and uncertainty, and within-person counterfactual, are not specified. Full text must confirm hazard-specific extractable effects.",FULLTEXT_REVIEW
477,D0024811,Associations between wildfire smoke exposure and health-related quality of life: findings from the Lovelace Smokers Cohort,2026,Respiratory Research,wildfire,NARRATIVE_ONLY,"Wildfire-smoke windows before a single questionnaire are associated with SF-36 mental-health scores, without a repeated pre-smoke outcome or within-person temporal counterfactual.",FULLTEXT_REVIEW,"Abstract supports objectively modeled wildfire smoke PM2.5/BC exposure and SF-36 mental health component, but does not establish whether participants had repeated outcome measures, pre-exposure baseline, or within-unit temporal variation versus cross-sectional exposure contrasts. Effect estimates and uncertainty are not shown in the abstract.",ADJUDICATE_PRIORITY
478,D0024837,Daytime and nighttime heatwave intensity and acute care utilization for mental and neurological disorders in California,2026,Environmental Research Health,temperature,FULLTEXT_REVIEW,"A time-stratified case-crossover estimates daytime and nighttime heatwave effects on mental-health care, but only comparative statements and attributable fractions without uncertainty are reported.",FULLTEXT_REVIEW,"Time-stratified case-crossover with objective heatwave indices and acute care utilization for mental disorders is eligible, but the abstract gives only comparative P-values and attributable fractions without exact effect sizes and confidence intervals, so quantitative hazard effect with uncertainty cannot be confirmed.",FULLTEXT_REVIEW
479,D0024965,Psychological distress and somatic symptoms after natural disaster: Differential vulnerability among older adults,1990,Psychology and Aging,flood,FULLTEXT_REVIEW,"The panel has pre-flood and post-flood symptom measures and reports flood-related increases, but the abstract does not state how individual flood exposure was measured or provide effect uncertainty.",FULLTEXT_REVIEW,"Panel study with pre-flood baseline and post-flood outcomes supports a longitudinal pre/post design and eligible depressive/anxiety outcomes, but the abstract reports only that flood exposure was 'related to increases' without numeric estimates or uncertainty, so effect extractability is unresolved.",FULLTEXT_REVIEW
480,D0024999,An Australian disaster: The 1983 bushfires,1990,International Journal of Mental Health,wildfire,NARRATIVE_ONLY,"The paper discusses post-fire patients and a longitudinal group of highly exposed volunteer firefighters, but no pre-fire outcome, unexposed temporal control, or hazard effect is described.",NARRATIVE_ONLY,"Abstract describes frequency, etiology, and natural history of PTSD in 469 intensely exposed firefighters after 1983 bushfires; no pre-event baseline, comparison group, or quantitative hazard effect with uncertainty is reported. Topic relevant but design unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
481,D0025020,Buffalo Creek Survivors in the Second Decade: Comparison with Unexposed and Nonlitigant Groups,1990,Journal of Applied Social Psychology,flood,NARRATIVE_ONLY,"Survivors are compared with a nonexposed sample in the second decade after the flood, with no pre-flood mental-health outcome or quasi-experimental temporal contrast.",NARRATIVE_ONLY,Post-event comparison of flood survivors vs nonexposed sample with no pre-event baseline or temporal variation. Abstract reports higher anxiety/depression in survivors but no quantitative effect; exposed/unexposed single post-event comparison is unsuitable for causal meta-analysis.,DO_NOT_ADVANCE_MAIN_META
482,D0025319,A test of the social support deterioration model in the context of natural disaster,1993,Journal of Personality and Social Psychology,flood,FULLTEXT_REVIEW,"The statewide panel was interviewed before and twice after a severe flood, but the abstract does not specify objective individual exposure measurement or provide the flood-depression effect and uncertainty.",FULLTEXT_REVIEW,"Prospective longitudinal pre/post flood study measuring depression, but abstract does not state how disaster exposure/stress was measured (objective vs self-report) and gives no quantitative hazard effect estimate.",FULLTEXT_REVIEW
483,D0025857,Received and perceived social support in times of stress: A test of the social support deterioration deterrence model,1996,Journal of Personality and Social Psychology,cyclone,NARRATIVE_ONLY,"Both hurricane samples are first assessed months after exposure and model reported disaster scope and support as predictors of distress, without pre-event outcomes.",NARRATIVE_ONLY,"Only two postdisaster waves (12/24 months after Hugo, 6/28 after Andrew) in disaster victims; no predisaster baseline or unaffected comparison. Abstract tests social support mediation, not a hazard effect with a credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
484,D0025982,"Distress, elevated cortisol, cognitive deficits, and illness following a natural disaster",1997,Journal of Environmental Psychology,cyclone,NARRATIVE_ONLY,"Students at harmed, threatened, and remote campuses are measured only 36-120 days after the hurricane; there is no pre-event distress outcome.",NARRATIVE_ONLY,"Post-hurricane cross-sectional comparison of harmed, threatened, and remote students assessed only 36-120 days after the event. No pre-event baseline or credible counterfactual; affected-versus-unaffected gradient alone cannot support causal inference. Psychological distress was measured, but no extractable causal hazard effect.",DO_NOT_ADVANCE_MAIN_META
485,D0026165,Children's predisaster functioning as a predictor of posttraumatic stress following Hurricane Andrew,1998,Journal of Consulting and Clinical Psychology,cyclone,NARRATIVE_ONLY,"Children have pre- and post-hurricane outcomes, but the hazard contrast is based on their reported hurricane experiences with no external exposure linkage described.",NARRATIVE_ONLY,"Exposure is measured via children's self-reported hurricane-related experiences, not objective or externally verifiable variation; PTS outcomes are only post-event and no credible unexposed counterfactual is described.",DO_NOT_ADVANCE_MAIN_META
486,D0026833,The effects of an acute stressor on depressive symptoms among older adults: The moderating effects of social support and age,2000,Research on Aging,flood,NARRATIVE_ONLY,"Pre- and post-flood depression are available, but the focal hazard variables are reported flood exposure and loss, with no objective flood linkage described.",FULLTEXT_REVIEW,"Abstract reports pre/post flood depression with prior depression control, but flood exposure source is undescribed (possibly self-reported flood loss), so objective/verifiable measurement cannot be confirmed. No effect size or uncertainty reported.",ADJUDICATE_PRIORITY
487,D0026957,Symptoms of acute stress disorder and posttraumatic stress disorder following exposure to disastrous flooding,2001,Journal of Trauma and Dissociation,flood,NARRATIVE_ONLY,Flood survivors are first surveyed one to three months after the event and followed at one year; reported threat and loss predict symptoms without a pre-flood outcome.,NARRATIVE_ONLY,"Self-reported flood-related threat/loss exposure; exposed-only follow-up with initial survey 1-3 months post-flood and no pre-event baseline, no comparison group.",DO_NOT_ADVANCE_MAIN_META
488,D0027673,Psychosocial correlates of wildfire disaster: Post disaster adult reactions,2003,Fire Technology,wildfire,NARRATIVE_ONLY,Victims and matched nonvictims are assessed once 1.5 months after the wildfire; there is no pre-fire mental-health baseline or temporal counterfactual.,NARRATIVE_ONLY,"Single post-disaster cross-sectional comparison of wildfire victims versus matched non-victims at 1.5 months post-fire; no pre-event outcome or credible counterfactual, and only significant symptom differences are reported without quantitative effect estimates or uncertainty.",DO_NOT_ADVANCE_MAIN_META
489,D0028557,Climate and happiness,2005,Ecological Economics,temperature,NARRATIVE_ONLY,Country-level happiness differences are related to largely climatic means and extremes; the abstract does not describe within-country temporal hazard variation or a credible event counterfactual.,FULLTEXT_REVIEW,"Panel of 67 countries links objective temperature/precipitation to self-reported happiness, an eligible wellbeing outcome, but abstract does not confirm country fixed effects or within-unit temporal identification, and no effect size/uncertainty is given; full text needed to establish credible counterfactual and extractable temperature-specific estimates.",ADJUDICATE_PRIORITY
490,D0028892,Short communication: Prospective evidence for a reciprocal relationship between sense of control and depressive symptoms following a flood,2006,Stress and Health: Journal of the International Society for the Investigation of Stress,flood,FULLTEXT_REVIEW,"Prospective pre-flood data and change in depression support temporal identification, but the abstract does not state how flood exposure was verified or report an effect with uncertainty.",FULLTEXT_REVIEW,"Prospective cohort with pre-flood baseline and depressive symptoms, but abstract does not specify whether flood exposure was objectively verified and provides no hazard effect estimate or uncertainty; path analysis suggests reciprocal associations but lacks extractable flood-specific coefficient.",FULLTEXT_REVIEW
491,D0029057,"Psychological aspects of moulds: concerning extreme cases, inundation in the Somme valley",2006,Revue Francaise d'Allergologie et d'Immunologie Clinique,flood,NARRATIVE_ONLY,"Evacuated, inundated, and unharmed residents are assessed in one post-flood cross-sectional study, without pre-event mental-health outcomes.",NARRATIVE_ONLY,"Cross-sectional post-flood study comparing evacuated, inundated, and unharmed groups; no pre-event baseline or credible counterfactual. Reports differences in stress, anxiety, insomnia, and depression but not a causal hazard effect.",DO_NOT_ADVANCE_MAIN_META
492,D0029552,"Cold summer weather, constrained restoration, and the use of antidepressants in Sweden",2007,Journal of Environmental Psychology,temperature,FULLTEXT_REVIEW,"National monthly SSRI dispensing and mean temperature are analyzed with ARIMA controlling trends and seasonality, but no temperature effect estimate or uncertainty is reported.",FULLTEXT_REVIEW,"Time-series ARIMA study of objective monthly temperature and SSRI dispensing. Abstract reports a negative association net of trends, seasonality, and controls, but no numeric effect estimate or uncertainty, so full text is needed to confirm extractable adjusted effects.",FULLTEXT_REVIEW
493,D0029678,A Thai community's anniversary reaction to a major catastrophe,2007,Stress and Health: Journal of the International Society for the Investigation of Stress,flood,NARRATIVE_ONLY,"Residents in flood-severity areas are repeatedly assessed only after the disaster, describing symptom decline and anniversary response without a pre-event outcome or new hazard variation.",NARRATIVE_ONLY,"Longitudinal post-flood study with five waves over 12 months in four differently affected areas. No pre-flood baseline; area severity gradient and symptom score trajectories are descriptive, not a credible causal flood effect estimate.",DO_NOT_ADVANCE_MAIN_META
494,D0030595,Natural disasters and the oldest-old: A psychological perspective on coping and health in late life,2009,"Lifespan perspectives on natural disasters: Coping with Katrina, Rita, and other storms",cyclone,EXCLUDE,"This book chapter reviews aging, resilience, and coping and presents selected data from an existing study rather than a clearly reported original quantitative hazard-effect analysis.",FULLTEXT_REVIEW,"Pre/post hurricane assessments of self-reported health and well-being suggest a possible longitudinal natural experiment, but the abstract reports only comparable results without a quantitative hazard effect or uncertainty.",ADJUDICATE_PRIORITY
495,D0030670,Hurricane Katrina’s impact on the Mississippi Gulf Coast: General self-efficacy’s relationship to PTSD prevalence and severity,2009,Psychological Services,cyclone,NARRATIVE_ONLY,"A survivor survey relates reported hurricane impact and self-efficacy to PTSD after Katrina, with no pre-hurricane outcome or external individual exposure linkage.",NARRATIVE_ONLY,"Single-wave post-event survey of Hurricane Katrina survivors; hurricane impact is self-reported or post-hoc, with no pre-event baseline or unaffected comparator. Only correlations/regressions among survivors, so unsuitable for causal hazard effect extraction.",DO_NOT_ADVANCE_MAIN_META
496,D0030991,Valuing flood disasters using the life satisfaction approach,2009,Journal of Public Economics,flood,FULLTEXT_REVIEW,"Cross-sectional and time-series data across countries yield a flood effect on life satisfaction, but the abstract does not identify flood data, fixed effects, temporal contrast, or uncertainty.",FULLTEXT_REVIEW,"Life satisfaction is an eligible outcome and flood is a registered hazard; abstract uses combined cross-section and time-series data but does not specify fixed effects, pre-exposure baseline, or other credible counterfactual, and reports no numerical effect or uncertainty.",FULLTEXT_REVIEW
497,D0030992,Quantifying the costs of drought: New evidence from life satisfaction data,2009,Journal of Population Economics,drought,FULLTEXT_REVIEW,"Rainfall-defined drought is matched to individual life satisfaction and analyzed with fixed effects, but the abstract reports only an income-equivalent effect without statistical uncertainty.",META_ELIGIBLE,"Rainfall-matched drought exposure is objective and life satisfaction is an eligible wellbeing outcome. Fixed-effect models provide within-unit temporal counterfactual, and the abstract reports a quantitative drought effect (A$18,000 equivalent) that is extractable.",FULLTEXT_REVIEW
498,D0032089,Valuing the Welfare Cost of Forest Fires: a Life Satisfaction Approach,2011,Kyklos,wildfire,FULLTEXT_REVIEW,"Regional fire incidence and extent are linked to life satisfaction and instrumented with precipitation, but the abstract reports monetary valuations without uncertainty for the welfare effect.",FULLTEXT_REVIEW,"Plausible quasi-experimental IV study linking regional forest fires to life satisfaction; exposure objective and outcome eligible. Abstract lacks uncertainty metrics for fire effects and does not fully describe panel/temporal counterfactual, so meta-eligibility requires full text verification.",FULLTEXT_REVIEW
499,D0032400,"Stability, change, and the stability of change in daily workplace affect",2011,Journal of Organizational Behavior,cyclone,EXCLUDE,"The primary study concerns workplace affect dynamics and affect spin; the hurricane is an incidental interruption, and no hurricane effect on affect is reported.",FULLTEXT_REVIEW,"Daily affect is an eligible subjective wellbeing/affect outcome and the hurricane is an objective event interrupting a 21-day diary, suggesting possible longitudinal pre/post exposure. However, the abstract reports no hurricane-specific quantitative effect size or uncertainty, so effect extractability is unresolved.",ADJUDICATE_PRIORITY
500,D0032410,The influence of the weather on affective experience: An experience sampling study,2011,Journal of Individual Differences,temperature,FULLTEXT_REVIEW,"Repeated momentary affect is linked to hourly weather-station temperature and analyzed with multilevel models, but no temperature effect estimate or uncertainty is given.",FULLTEXT_REVIEW,"Objective hourly temperature from a weather station and repeated momentary affect measures over 14 days support a repeated-measures panel design with an eligible affect outcome. However, the abstract reports only direction (weak relation) without a quantitative estimate or uncertainty, so full text is needed for an extractable hazard effect.",FULLTEXT_REVIEW
501,D0033219,Trustworthiness processing and psychobiological responses to natural disaster-induced distress in adolescents,2012,"Journal of Aggression, Maltreatment & Trauma",cyclone,NARRATIVE_ONLY,Hurricane-affected adolescents were compared with matched controls only after Katrina; no pre-event outcome or quasi-experimental counterfactual is described.,NARRATIVE_ONLY,"Abstract reports a single post-event comparison of Hurricane Katrina-exposed adolescents to matched controls, with no pre-event baseline or credible temporal counterfactual. This exposed/unexposed post-event design is unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
